Year,Yield_sorghum,JAN-p,FEB-p,MAR-p,APR-p,MAY-p,JUN-p,JUL-p,AUG-p,SEP-p,OCT-p,JAN-txa,FEB-txa,MAR-txa,APR-txa,MAY-txa,JUN-txa,JUL-txa,AUG-txa,SEP-txa,OCT-txa,JAN-taa,FEB-taa,MAR-taa,APR-taa,MAY-taa,JUN-taa,JUL-taa,AUG-taa,SEP-taa,OCT-taa,JAN-tna,FEB-tna,MAR-tna,APR-tna,MAY-tna,JUN-tna,JUL-tna,AUG-tna,SEP-tna,OCT-tna,JAN-txm,FEB-txm,MAR-txm,APR-txm,MAY-txm,JUN-txm,JUL-txm,AUG-txm,SEP-txm,OCT-txm,JAN-tnm,FEB-tnm,MAR-tnm,APR-tnm,MAY-tnm,JUN-tnm,JUL-tnm,AUG-tnm,SEP-tnm,OCT-tnm
1996-01-01,35.0,0.39,0.0,1.18,0.38,2.26,3.69,2.26,2.18,2.74,0.3,41.97,47.28,51.26,66.29,73.23,83.73,86.68,86.16,74.81,65.87,24.53,30.95,35.58,48.32,58.55,67.73,71.58,70.34,60.31,49.9,7.1,14.62,19.9,30.36,43.87,51.73,56.48,54.52,45.81,33.94,71.0,67.0,74.0,83.0,92.0,91.0,97.0,98.0,94.0,86.0,-19.0,-33.0,-2.0,16.0,31.0,40.0,50.0,47.0,27.0,15.0
1995-01-01,38.0,0.13,0.34,0.12,1.15,2.97,5.8,1.58,0.25,2.39,0.15,41.65,48.74,54.45,57.13,62.13,76.6,87.57,91.48,75.55,64.68,28.45,34.06,38.74,42.73,51.42,62.72,70.62,73.44,60.76,47.77,14.63,19.37,23.03,28.33,40.71,48.83,53.67,55.39,45.97,30.87,61.0,70.0,77.0,74.0,82.0,91.0,100.0,99.0,98.0,82.0,-22.0,-1.0,-1.0,18.0,30.0,36.0,46.0,43.0,24.0,17.0
1994-01-01,32.0,0.37,0.13,0.06,0.99,0.31,1.22,1.48,0.79,0.45,1.67,43.97,39.07,58.27,62.37,77.19,88.93,88.39,88.61,82.03,63.8,30.37,25.2,41.33,47.62,59.95,71.02,71.45,72.27,63.97,49.8,16.68,11.32,24.61,32.87,42.71,53.1,54.52,55.94,45.9,35.48,61.0,58.0,74.0,81.0,92.0,101.0,98.0,96.0,94.0,76.0,-7.0,-16.0,9.0,16.0,31.0,40.0,42.0,49.0,32.0,22.0
1993-01-01,32.0,0.29,0.45,0.63,1.73,1.17,1.73,0.58,3.72,1.78,1.39,31.32,35.19,53.65,60.27,73.0,80.17,87.06,83.29,75.6,61.7,17.98,23.15,40.02,46.4,57.35,64.48,70.84,68.35,58.78,47.03,4.97,11.39,26.39,32.53,41.71,48.9,54.61,53.42,41.97,32.37,47.0,51.0,76.0,75.0,85.0,95.0,99.0,95.0,91.0,87.0,-15.0,-15.0,1.0,22.0,23.0,39.0,43.0,37.0,25.0,5.0
1992-01-01,41.0,0.38,0.0,2.49,0.0,0.8,2.13,2.32,2.65,0.0,0.82,42.74,51.86,56.38,69.33,74.9,79.23,84.03,82.29,81.07,68.16,28.32,37.21,42.03,51.57,58.06,64.57,69.16,66.85,62.22,50.74,13.9,22.55,27.69,33.8,41.23,49.9,54.29,51.42,43.67,33.32,58.0,69.0,69.0,89.0,87.0,92.0,97.0,96.0,89.0,86.0,-10.0,11.0,9.0,14.0,32.0,36.0,42.0,38.0,30.0,16.0
1991-01-01,51.0,0.08,0.0,0.07,0.66,1.86,2.13,2.38,1.37,0.88,0.21,37.71,53.14,54.65,62.37,74.13,82.83,87.03,86.19,78.33,66.7,23.23,35.45,38.89,46.58,58.71,67.4,70.74,70.29,61.47,48.42,8.74,17.75,23.13,30.8,43.29,51.97,54.45,54.39,44.6,30.13,55.0,64.0,68.0,81.0,89.0,98.0,99.0,95.0,89.0,88.0,-11.0,7.0,3.0,18.0,21.0,45.0,46.0,49.0,30.0,1.0
1990-01-01,57.0,0.47,0.11,2.76,0.58,1.24,0.55,3.23,1.51,3.33,1.0,45.06,44.14,49.87,61.81,69.9,87.17,83.16,84.77,79.5,66.71,29.97,29.43,37.5,46.87,53.92,69.81,68.9,68.76,64.04,48.9,14.87,14.71,25.13,31.92,37.94,52.45,54.65,52.74,49.12,31.0,68.0,63.0,71.0,77.0,85.0,102.0,101.0,98.0,93.0,85.0,3.0,-16.0,15.0,24.0,23.0,38.0,44.0,46.0,31.0,18.0
1989-01-01,49.0,0.39,0.33,0.25,0.66,0.9,2.62,5.36,1.45,2.1,0.23,46.55,33.93,57.1,66.1,76.35,79.5,90.58,83.77,74.04,64.42,29.23,20.43,40.06,48.98,59.08,64.55,74.18,69.06,58.76,48.5,11.77,6.93,23.03,31.87,41.81,49.6,57.77,54.35,43.48,32.58,61.0,67.0,76.0,89.0,95.0,99.0,103.0,91.0,89.0,84.0,-9.0,-32.0,-6.0,7.0,19.0,38.0,50.0,46.0,32.0,13.0
1988-01-01,48.0,0.16,0.23,0.82,0.72,3.97,1.91,2.35,0.83,1.65,0.2,24.87,46.0,51.23,66.47,73.42,87.48,90.45,90.16,77.79,69.65,10.04,31.69,36.04,47.03,57.28,69.43,71.69,71.44,60.1,51.4,-4.0,16.88,21.79,27.41,39.82,51.38,52.94,52.71,42.41,33.16,47.0,62.0,78.0,81.0,91.0,97.0,97.0,99.0,96.0,84.0,-20.0,-5.0,2.0,4.0,24.0,40.0,42.0,42.0,29.0,18.0
1987-01-01,38.0,0.08,0.88,0.73,0.42,5.99,1.57,2.78,1.92,0.72,0.75,43.94,47.5,49.79,69.13,72.77,84.03,90.9,85.1,78.57,66.9,29.95,34.83,36.15,49.81,58.89,65.98,72.44,68.85,60.17,47.13,15.11,21.85,21.52,30.1,45.0,47.93,53.97,52.61,41.77,27.35,63.0,69.0,70.0,85.0,86.0,94.0,100.0,98.0,94.0,87.0,-5.0,8.0,5.0,14.0,38.0,35.0,43.0,44.0,30.0,13.0
1986-01-01,25.0,0.02,0.19,0.44,1.58,1.3,1.47,1.0,0.86,1.27,1.17,44.52,47.33,61.06,62.6,70.83,86.0,90.67,88.13,74.8,63.48,31.77,32.35,44.21,48.0,54.55,68.71,70.98,69.15,59.13,50.11,19.17,17.89,27.35,32.96,38.24,51.23,51.3,50.55,43.47,36.74,62.0,74.0,80.0,80.0,87.0,100.0,100.0,102.0,86.0,74.0,3.0,-14.0,6.0,14.0,26.0,40.0,43.0,43.0,33.0,29.0
1985-01-01,26.0,0.46,0.02,0.06,1.23,1.55,1.38,2.56,0.0,1.26,0.77,36.23,39.75,56.45,66.3,75.29,83.47,89.23,90.81,74.79,65.94,21.9,25.41,40.5,48.64,59.26,64.85,70.89,70.58,58.75,48.91,7.17,11.07,24.27,30.83,43.23,46.23,52.55,50.35,41.87,31.9,54.0,57.0,77.0,85.0,89.0,100.0,101.0,100.0,89.0,83.24,-24.0,-24.0,10.0,10.0,33.0,33.0,46.0,39.0,17.0,15.42
1984-01-01,43.0,0.21,0.21,1.0,2.82,1.29,1.72,3.15,1.43,0.32,1.7,35.83,44.86,50.52,52.93,75.39,81.03,90.42,88.23,76.8,59.26,21.57,31.74,36.76,40.75,58.45,64.97,73.5,71.74,58.98,46.0,7.3,18.64,22.72,28.57,41.52,48.9,56.58,55.26,41.69,32.53,57.0,60.0,72.0,73.0,88.0,92.0,100.0,95.0,95.0,78.0,-30.0,5.0,6.0,12.0,28.0,36.0,48.0,45.0,21.0,19.0
1983-01-01,36.0,0.0,0.22,1.19,1.91,4.94,3.01,2.84,4.72,0.33,0.58,46.17,50.74,49.58,53.33,65.38,76.4,88.34,89.55,82.13,68.53,32.55,34.3,37.74,39.23,51.31,62.38,71.17,73.26,62.27,50.5,19.11,17.85,25.9,25.75,37.24,48.37,54.0,56.97,42.4,32.55,65.0,63.0,68.0,72.0,85.0,90.0,98.0,96.0,95.0,80.0,-2.0,-0.0,16.0,8.0,25.0,37.0,38.0,45.0,18.0,15.0
1982-01-01,39.0,0.04,0.04,0.19,0.13,3.16,1.95,5.29,2.03,2.21,0.65,36.75,58.35,53.81,64.21,69.68,82.75,88.65,87.13,74.77,63.37,18.41,38.06,37.35,45.09,54.56,66.03,71.6,71.87,59.85,47.78,5.54,8.41,20.9,26.1,39.45,49.32,54.55,56.61,45.47,32.23,55.0,73.0,69.0,80.0,86.0,95.87,102.0,93.0,94.0,76.0,-19.0,-29.0,10.0,9.0,20.0,37.0,46.0,48.0,35.0,16.0
1981-01-01,46.0,0.07,0.26,1.68,1.75,2.89,0.4,4.65,2.09,0.2,0.48,49.55,51.11,52.59,70.68,66.73,86.27,89.8,84.68,82.79,64.84,31.31,32.45,38.09,53.71,53.97,68.4,73.38,68.82,64.09,48.03,13.07,13.79,23.59,36.89,41.2,51.16,56.97,52.97,45.39,31.23,64.0,70.0,69.0,85.0,84.0,97.0,100.0,97.0,94.0,82.0,-2.0,-22.0,15.0,22.0,30.0,36.0,50.0,46.0,32.0,12.0
1980-01-01,38.0,0.21,0.22,0.74,1.29,2.13,0.0,2.08,0.22,0.51,0.2,41.3,46.17,54.3,63.02,72.41,89.23,92.7,88.33,81.46,66.87,26.05,30.63,38.43,46.66,56.25,68.91,75.25,69.75,61.96,47.47,10.87,14.82,22.5,30.33,40.08,48.66,57.8,51.39,43.07,28.07,60.36,64.11,73.98,80.49,88.84,101.0,102.0,100.0,98.0,84.0,-11.8,-6.55,4.2,14.98,26.07,37.0,52.0,35.0,31.0,9.0
1979-01-01,36.0,0.21,0.22,0.74,1.29,2.13,1.95,2.15,1.79,1.22,0.77,31.18,47.88,54.3,63.02,72.41,82.75,89.88,87.39,78.74,65.94,14.78,29.7,38.43,46.66,56.25,66.03,72.62,70.41,61.24,48.91,-3.36,9.75,22.5,30.33,40.08,49.32,55.39,53.43,43.74,31.9,51.0,63.0,73.98,80.49,88.84,95.87,99.98,97.38,92.41,83.24,-20.0,-17.0,4.2,14.98,26.07,37.0,46.35,43.96,29.59,15.42
1978-01-01,46.0,0.7,0.22,0.74,0.24,1.73,1.67,0.7,2.66,0.0,0.57,32.25,46.17,66.0,64.24,67.12,79.2,92.59,87.28,81.04,66.67,18.23,30.63,47.17,48.38,52.52,64.15,74.02,68.71,60.96,46.28,4.21,14.82,27.85,32.52,37.92,48.46,55.59,49.72,40.87,26.44,54.0,64.11,78.0,79.0,87.0,96.0,102.0,96.0,95.0,85.0,-12.0,-6.55,16.0,23.0,23.0,36.0,44.0,36.0,24.0,21.0
1977-01-01,66.0,0.21,0.22,0.74,1.29,2.13,1.95,3.78,1.2,0.24,0.01,41.3,46.17,54.3,63.02,72.41,82.75,87.85,83.96,83.79,69.95,26.05,30.63,38.43,46.66,56.25,66.03,73.0,67.5,63.47,48.05,10.87,14.82,22.5,30.33,40.08,49.32,58.15,51.04,42.5,27.43,60.36,64.11,73.98,80.49,88.84,95.87,100.0,95.0,95.0,82.0,-11.8,-6.55,4.2,14.98,26.07,37.0,51.0,41.0,36.0,13.0
