Year,JAN-p,FEB-p,MAR-p,APR-p,MAY-p,JUN-p,JUL-p,AUG-p,SEP-p,OCT-p,JAN-txa,FEB-txa,MAR-txa,APR-txa,MAY-txa,JUN-txa,JUL-txa,AUG-txa,SEP-txa,OCT-txa,JAN-taa,FEB-taa,MAR-taa,APR-taa,MAY-taa,JUN-taa,JUL-taa,AUG-taa,SEP-taa,OCT-taa,JAN-tna,FEB-tna,MAR-tna,APR-tna,MAY-tna,JUN-tna,JUL-tna,AUG-tna,SEP-tna,OCT-tna,JAN-txm,FEB-txm,MAR-txm,APR-txm,MAY-txm,JUN-txm,JUL-txm,AUG-txm,SEP-txm,OCT-txm,JAN-tnm,FEB-tnm,MAR-tnm,APR-tnm,MAY-tnm,JUN-tnm,JUL-tnm,AUG-tnm,SEP-tnm,OCT-tnm
2001-01-01,0.59,0.25,0.97,2.53,3.48,0.41,0.89,1.07,0.88,0.28,44.19,42.79,52.94,63.6,70.97,84.0,89.0,86.1,79.97,64.0,31.06,30.86,40.35,50.77,57.23,68.4,74.55,71.81,64.05,50.26,17.94,18.93,27.77,37.93,43.48,52.8,60.1,57.52,48.13,36.52,68.0,59.0,70.0,81.0,86.0,97.0,98.0,94.0,91.0,83.0,3.0,-3.0,20.0,27.0,32.0,40.0,55.0,50.0,33.0,25.0
2002-01-01,0.74,0.22,1.18,0.26,2.0,0.76,0.07,0.65,1.45,1.14,42.55,49.93,50.71,66.41,71.2,87.43,91.68,85.81,76.47,57.87,29.66,34.18,35.97,51.52,56.37,71.32,76.15,70.39,62.7,44.82,16.77,18.43,21.23,36.9,41.68,55.2,60.61,54.97,48.93,31.77,64.0,73.0,71.0,81.0,90.0,97.0,101.0,99.0,92.0,79.0,-3.0,3.0,-6.0,21.0,30.0,45.0,54.0,45.0,38.0,14.0
2003-01-01,0.04,0.85,5.76,3.13,2.26,1.13,0.38,3.4,0.29,0.19,52.61,41.82,55.65,63.7,71.06,75.77,92.77,87.0,74.63,72.74,37.24,30.16,42.27,50.63,58.37,63.43,76.76,72.73,59.77,55.23,21.87,18.5,28.9,37.57,45.68,51.1,60.74,58.45,44.9,37.71,69.0,74.0,77.0,80.0,95.0,86.0,100.0,96.0,87.0,86.0,11.0,-3.0,10.0,26.0,31.0,40.0,55.0,51.0,35.0,22.0
2004-01-01,0.38,0.5,0.34,2.22,1.51,2.66,2.03,3.27,2.84,1.05,45.97,44.45,63.13,62.47,74.9,76.97,85.23,80.81,76.4,64.0,32.58,32.24,47.48,49.78,60.37,63.8,70.92,66.98,61.75,50.95,19.19,20.03,31.84,37.1,45.84,50.63,56.48,53.16,47.1,37.9,65.0,65.0,79.0,80.0,89.0,98.0,98.0,95.0,90.0,75.0,-8.0,-2.0,21.0,23.0,27.0,40.0,50.0,40.0,34.0,28.0
2005-01-01,0.66,0.27,1.04,2.73,2.89,3.46,0.32,1.06,0.25,3.26,45.45,50.18,55.48,62.23,71.06,80.33,91.74,84.52,79.33,65.45,32.81,37.16,42.05,48.45,57.47,66.2,75.29,70.06,63.88,51.53,20.16,24.14,28.61,34.67,43.87,52.07,58.84,55.61,48.43,37.61,68.0,63.0,73.0,78.0,91.0,91.0,103.0,94.0,90.0,86.0,-2.0,10.0,12.0,21.0,30.0,39.0,51.0,47.0,36.0,28.0
2006-01-01,0.1,0.53,1.45,0.22,0.87,0.13,0.84,0.68,0.73,2.27,52.52,45.82,51.39,69.13,75.68,87.47,88.84,85.03,72.3,62.1,38.13,31.93,39.19,53.3,60.61,71.6,75.13,71.66,58.53,48.79,23.74,18.04,27.0,37.47,45.55,55.73,61.42,58.29,44.77,35.48,69.0,73.0,68.0,84.0,91.0,100.0,100.0,96.0,88.0,81.0,11.0,-11.0,14.0,26.0,33.0,48.0,54.0,47.0,35.0,22.0
2007-01-01,0.54,0.22,1.59,0.97,1.22,0.33,0.84,3.6,1.04,1.74,36.9,43.79,60.68,61.2,72.87,84.33,89.84,87.16,77.27,66.84,23.65,32.0,46.58,48.27,58.47,68.57,75.68,73.1,63.53,52.18,10.39,20.21,32.48,35.33,44.06,52.8,61.52,59.03,49.8,37.52,55.0,60.0,77.0,85.0,86.0,98.0,97.0,94.0,90.0,83.0,-8.0,-6.0,18.0,21.0,34.0,37.0,55.0,53.0,38.0,23.0
2008-01-01,0.03,0.26,0.78,0.85,1.61,2.06,1.11,3.94,1.28,0.81,39.35,49.07,54.58,62.77,71.47,81.27,90.0,82.19,73.87,65.0,27.29,35.55,40.85,47.5,57.05,66.13,74.39,68.89,60.18,50.45,15.23,22.03,27.13,32.23,42.63,51.0,58.77,55.58,46.5,35.9,57.0,65.0,74.0,82.0,86.0,91.0,97.0,99.0,84.0,79.0,-7.0,7.0,14.0,19.0,25.0,41.0,51.0,48.0,40.0,22.0
2009-01-01,0.28,0.16,0.93,4.44,2.23,5.03,3.95,0.22,0.67,2.16,48.23,52.11,57.81,60.83,72.48,76.2,83.48,82.97,77.0,55.13,33.77,37.86,42.63,47.33,59.52,63.73,70.06,68.6,62.5,43.24,19.87,23.61,27.45,33.83,46.55,51.27,56.65,54.23,48.0,31.35,70.0,68.0,76.0,82.0,89.0,89.0,94.0,92.0,89.0,83.0,-6.0,11.0,11.0,18.0,37.0,42.0,49.0,47.0,35.0,15.0
2010-01-01,0.15,0.65,1.55,3.15,2.13,1.96,1.26,1.23,0.06,0.87,43.29,40.57,56.19,61.57,67.68,81.7,88.26,86.97,81.9,67.84,30.08,29.54,42.44,48.95,54.92,68.18,73.16,72.5,64.82,54.03,16.87,18.5,28.68,36.33,42.16,54.67,58.06,58.03,47.73,40.23,56.0,51.0,79.0,76.0,91.0,97.0,97.0,97.0,93.0,82.0,-10.0,5.0,10.0,25.0,30.0,43.0,50.0,50.0,38.0,21.0
2011-01-01,0.29,0.66,0.29,2.05,4.5,2.78,1.7,0.12,1.97,1.77,42.74,44.32,57.58,62.07,65.42,82.4,89.23,89.77,77.53,66.65,30.11,29.7,44.16,49.0,53.34,67.43,74.79,74.31,62.45,51.81,17.48,15.07,30.74,35.93,41.26,52.47,60.35,58.84,47.37,36.97,64.0,67.0,73.0,82.0,85.0,97.0,96.0,98.0,94.0,87.0,-6.0,-13.0,18.0,25.0,28.0,45.0,55.0,53.0,35.0,12.0
2012-01-01,0.07,0.72,0.0,0.4,1.69,0.61,3.11,0.03,2.72,0.66,51.52,43.66,67.16,69.6,76.29,89.63,90.26,88.19,80.07,62.48,36.63,32.33,49.94,54.8,60.34,72.65,75.98,72.79,64.62,48.9,21.74,21.0,32.71,40.0,44.39,55.67,61.71,57.39,49.17,35.32,66.0,62.0,81.0,88.0,91.0,102.0,98.0,97.0,92.0,83.0,7.0,5.0,15.0,30.0,35.0,48.0,57.0,47.0,42.0,22.0
2013-01-01,0.11,0.55,0.98,2.84,2.83,0.59,1.9,0.57,6.09,1.68,45.61,45.25,53.35,57.1,71.77,86.1,85.9,86.68,77.33,59.68,30.56,31.7,39.84,43.75,58.15,70.35,72.66,72.06,65.07,47.34,15.52,18.14,26.32,30.4,44.52,54.6,59.42,57.45,52.8,35.0,62.0,61.0,76.0,81.0,86.0,97.0,98.0,97.0,97.0,77.0,-4.0,6.0,8.0,10.0,17.0,41.0,53.0,51.0,35.0,26.0
2014-01-01,1.43,0.3,1.37,0.62,4.76,0.99,3.04,0.58,1.28,0.8,46.32,42.25,56.58,64.07,70.87,81.8,85.39,83.74,78.07,69.16,32.42,29.25,42.18,50.17,57.92,66.7,72.06,69.85,63.33,54.02,18.52,16.25,27.77,36.27,44.97,51.6,58.74,55.97,48.6,38.87,65.0,64.0,74.0,80.0,87.0,91.0,99.0,93.0,94.0,79.0,-6.0,-14.0,3.0,18.0,29.0,40.0,53.0,48.0,31.0,28.0
2015-01-01,0.11,1.09,0.21,3.32,6.34,1.55,1.69,0.69,0.2,1.81,48.1,49.46,61.45,63.3,62.74,82.63,85.58,87.61,83.3,68.19,34.55,36.11,45.79,49.75,52.76,69.75,71.61,71.95,67.12,55.16,21.0,22.75,30.13,36.2,42.77,56.87,57.65,56.29,50.93,42.13,75.0,71.0,80.0,80.0,82.0,94.0,94.0,96.0,91.0,86.0,-3.0,3.0,3.0,25.0,28.0,49.0,53.0,44.0,40.0,30.0
2016-01-01,0.58,1.01,2.28,2.75,1.84,0.05,0.91,0.76,0.19,0.31,44.65,52.9,56.13,62.03,67.39,86.67,89.19,84.26,79.6,72.48,31.4,38.67,43.16,49.28,54.73,71.27,74.37,69.58,64.57,56.18,18.16,24.45,30.19,36.53,42.06,55.87,59.55,54.9,49.53,39.87,62.0,71.0,74.0,77.0,80.0,99.0,97.0,96.0,90.0,84.0,1.0,1.0,13.0,26.0,25.0,48.0,54.0,47.0,38.0,27.0
2017-01-01,0.89,0.52,0.99,2.12,4.44,0.14,0.95,2.38,2.09,1.68,42.97,54.46,63.42,63.33,70.55,83.83,89.29,82.39,76.4,64.42,30.34,40.54,48.47,50.23,56.61,68.85,74.61,68.85,62.85,49.56,17.71,26.61,33.52,37.13,42.68,53.87,59.94,55.32,49.3,34.71,64.0,77.0,79.0,80.0,87.0,100.0,97.0,94.0,98.0,82.0,-16.0,9.0,20.0,25.0,32.0,48.0,50.0,50.0,39.0,23.0
2018-01-01,0.45,0.67,0.71,0.75,5.12,1.22,2.21,0.28,0.46,1.08,48.06,44.32,58.32,64.03,73.48,86.37,87.42,84.87,81.33,62.32,33.94,30.57,43.85,48.98,60.19,70.75,73.27,70.42,65.55,49.1,19.81,16.82,29.39,33.93,46.9,55.13,59.13,55.97,49.77,35.87,64.0,67.0,70.0,80.0,88.0,101.0,98.0,94.0,93.0,82.0,-2.0,-3.0,16.0,20.0,35.0,47.0,47.0,49.0,37.0,12.0
2019-01-01,0.49,0.16,2.02,1.78,2.92,2.59,1.25,0.2,0.71,0.94,47.16,42.61,49.0,63.77,64.26,79.9,88.87,88.1,82.07,59.13,33.26,29.27,36.52,50.18,51.92,65.2,73.95,73.29,66.55,44.27,19.35,15.93,24.03,36.6,39.58,50.5,59.03,58.48,51.03,29.42,60.0,66.0,70.0,78.0,82.0,94.0,98.0,98.0,99.0,78.0,-1.0,-4.0,-9.0,21.0,31.0,41.0,53.0,49.0,41.0,5.0
